fname,mean_f0,mean_rms_db
Hobbie3,138.43,-28.03
Hobbie4,116.18,-29.72
Hobbie5,94.79,-29.06
Hobbie6,90.5,-27.68
Hobbie7,128.31,-29.96
Hobbie8,95.36,-27.74
Hobby01,87.23,-36.98
Hobby02,109.25,-24.18
Hobby09,161.74,-30.36
Hobby10,130.34,-26.23
Hobby11,98.29,-30.07
Hobby12,94.27,-30.59
Hobby13,90.39,-29.27
Hobby14,100.05,-25.17
Hobby15,110.35,-28.35
Hobby16,100.11,-22.94
Hobby17,100.97,-25.47
Hobby18,121.08,-26.43
Hobby19,94.59,-29.0
Hobby20,180.47,-28.05
Hobby21,94.08,-34.99
Hobby22,94.72,-26.15
Hobby23,111.4,-26.93
Lie01,107.29,-30.75
Lie04,125.46,-26.35
Lie05,103.8,-27.87
Lie06,89.12,-24.71
Lie07,139.88,-27.64
Lie08,102.65,-26.77
Lie09,143.16,-24.58
Lie10,158.33,-29.64
Lie11,99.6,-27.27
Lie12,94.89,-27.24
Lie13,98.6,-26.58
Lie14,97.29,-26.71
Lie16,128.05,-26.93
Lie17,81.54,-27.08
Lie18,118.01,-26.89
Lie19,99.87,-30.27
Lie20,214.6,-27.89
Lie21,87.87,-33.0
Lie22,88.18,-24.87
Lie23,105.0,-27.14
Norm01,108.91,-30.3
Norm04,122.15,-27.31
Norm05,124.43,-25.2
Norm06,101.2,-27.72
Norm07,144.87,-27.93
Norm08,112.16,-24.56
Norm09,203.66,-27.26
Norm10,155.08,-25.74
Norm11,110.98,-29.99
Norm12,95.19,-26.27
Norm13,92.82,-27.57
Norm14,113.49,-26.37
Norm16,108.03,-22.8
Norm17,101.89,-27.93
Norm18,136.84,-25.12
Norm19,103.91,-23.79
Norm20,234.25,-28.22
Norm21,104.3,-29.28
Norm22,94.26,-27.42
Norm23,109.4,-26.75
Start01,100.51,-32.11
Start03,108.62,-26.88
Start07,100.03,-26.73
Start09,165.85,-26.13
Start10,131.1,-33.01
Start11,91.64,-30.88
Start12,98.58,-29.59
Start13,88.65,-30.34
Start14,101.44,-26.4
Start15,89.43,-28.67
Start16,116.6,-28.17
Start17,98.21,-27.23
Start18,114.28,-27.14
Start19,94.76,-29.62
Start20,128.06,-31.2
Start21,85.32,-35.91
Start22,89.72,-26.88
Start23,97.07,-30.27
Story01,111.65,-28.42
Story03,138.41,-27.22
Story05,123.14,-25.82
Story06,93.9,-28.25
Story07,149.54,-28.15
Story08,123.02,-24.36
Story10,163.11,-26.68
Story11,105.01,-30.92
Story12,99.99,-25.46
Story13,96.1,-29.42
Story14,104.84,-24.16
Story15,104.05,-27.93
Story16,106.18,-23.32
Story17,98.92,-26.35
Story18,139.5,-24.15
Story19,100.53,-23.74
Story20,209.35,-27.66
Story21,106.87,-31.3
Story22,96.06,-29.35
Story23,111.9,-27.98
Story9,200.45,-28.02
Truth01,110.75,-31.74
Truth03,127.48,-31.08
Truth07,139.33,-27.85
Truth08,106.44,-29.09
Truth10,129.08,-29.5
Truth11,93.84,-29.35
Truth12,91.52,-24.55
Truth13,103.98,-23.76
Truth14,102.64,-25.72
Truth15,102.48,-28.91
Truth17,96.28,-26.45
Truth18,121.52,-27.05
Truth19,101.76,-26.8
Truth20,191.02,-28.04
Truth21,92.98,-30.02
Truth22,94.76,-24.89
Truth23,108.86,-27.5
lie02,104.5,-22.43
lie03,124.24,-24.01
lie15,99.03,-30.95
norm02,112.53,-24.44
norm03,134.63,-27.88
norm15,100.54,-27.15
start02,129.9,-30.06
start04,102.44,-27.7
start05,88.65,-29.73
start06,126.65,-30.12
story02,110.91,-24.42
story04,118.3,-25.96
truth02,110.65,-24.52
truth04,119.01,-26.89
truth05,97.01,-25.84
truth06,89.96,-27.82
truth09,152.46,-25.96
truth16,130.74,-25.26
